ID,Title,Category,Type,Length (words),Priority,Target Month,Target Week,Status,Connections,Strategic Value
S2,Model Context Protocol: The Missing Link Between Swift and AI,MCP,Introduction,1800-2200,High,1,1,Not Started,Chapter 20 (Semantic Search),LAUNCH POST - Brand new tech positioning
Q1,From Jupyter Notebooks to Swift: Why I Built Quiver,Quiver,Origin Story,1500-2000,High,1,1,Not Started,Chapter 21 (Linear Algebra),Origin story with emotional hook
A1,How PageRank Works: Building Google's Original Algorithm in Swift,Algorithm,Flagship Tutorial,2500-3000,High,1,2,Not Started,Chapter 19 (PageRank),FLAGSHIP - Viral potential for HN
S1,I Built a Semantic Search Engine in Swift (And It's Fast),Semantic Search,Technical,2000-2500,High,1,3,Not Started,Chapter 20 + Quiver,Production code + performance showcase
Q3,10 Things You Can Do With Quiver (That You Can't Do in Standard Swift),Quiver,Feature Showcase,1000-1200,High,1,4,Not Started,Quiver Framework,Quick wins for new users
Q4,What Are Vectors? A Swift Developer's Introduction,Quiver,Educational,1800-2000,High,2,1,Not Started,Chapter 21,Educational foundation - no math assumed
A2,From PageRank to ChatGPT: The Surprising Connection,Algorithm,Thought Leadership,1800-2000,High,2,2,Not Started,Chapter 19 + Modern AI,Connects classic CS to modern AI
S3,From Jupyter Notebooks to Production: Building a Vector Database in Swift,Semantic Search,Technical Deep Dive,2500-3000,High,2,2,Not Started,Chapter 20 + Quiver,Complete production architecture
Q5,Understanding Matrices in Swift (Finally An iOS Dev's Guide),Quiver,Educational,1800-2000,High,2,3,Not Started,Chapter 21,Matrix fundamentals for iOS devs
S4,Building an MCP Tool That Claude Code Can Use (Complete Tutorial),MCP,Tutorial,2000-2500,High,2,4,Not Started,MCP SDK,Practical step-by-step guide
Q6,Matrix Transformations in Swift: Rotation Scaling and More,Quiver,Educational Advanced,2000-2500,Medium,3,1,Not Started,Chapter 21 + Game Dev,Shows why matrices are powerful
A5,Dynamic Programming in Swift: From Fibonacci to Real Problems,Algorithm,Interview Prep,2000-2500,High,3,2,Not Started,Chapter 18,Interview prep + evergreen content
Q7,Measuring Similarity in Swift: Cosine Distance Dot Products and Why They Matter,Quiver,Educational ML,1800-2000,High,3,2,Not Started,Chapter 20 + ML,Bridge to ML concepts
